id_gravacao,especie_cientifico,tipo_canto,qualidade,latitude,longitude,autor,fundo
XC1023375,Gubernetes yetapa,song,A,-20.3244,,Fabrício Grigolin,
XC1008362,Gubernetes yetapa,call,A,-20.2674,,Fabrício Grigolin,
XC991394,Gubernetes yetapa,song,A,-20.3244,,Fabrício Grigolin,
XC744947,Gubernetes yetapa,duet,A,-22.9242,,João Vitor Oliveira de Souza,Vanellus chilensis
XC744396,Gubernetes yetapa,call,A,-21.316,,João Vitor Oliveira de Souza,
XC741353,Gubernetes yetapa,call,A,-20.098,,Peder Svingen,
XC724870,Gubernetes yetapa,song,A,-22.3454,,Ricardo José Mitidieri,
XC723658,Gubernetes yetapa,duet,A,-21.5768,,Robson Silva e Silva,
XC720960,Gubernetes yetapa,call,A,-22.6778,,Luiz C.  Silva,Laterallus exilis
XC661702,Gubernetes yetapa,duet,A,-22.3739,,Ricardo Gagliardi,Gnorimopsar chopi
XC546868,Gubernetes yetapa,song,A,-22.7388,,Arthur Gomes,
XC496229,Gubernetes yetapa,"duet, song",A,-22.2339,,Arthur Gomes,
XC468122,Gubernetes yetapa,"call, duet, song",A,-22.28,,Marcelo J Feliti,
XC447907,Gubernetes yetapa,"begging call, call, begging juvenile, call adult",A,-22.8842,,Victor Antonelli,
XC439888,Gubernetes yetapa,song,A,-20.2551,,Robson Silva e Silva,"Colibri serrirostris, Troglodytes aedon"
XC427427,Gubernetes yetapa,canto,A,-20.251792,,Caio Brito,Rhynchotus rufescens
XC332836,Gubernetes yetapa,call,A,-22.2501,,Jeremy Minns,
XC299043,Gubernetes yetapa,song,A,-20.445,,Fernando Igor de Godoy,
XC297861,Gubernetes yetapa,song,A,-22.4805,,Jerome Fischer,
XC210140,Gubernetes yetapa,"duet, song",A,-22.7087,,Robson Silva e Silva,
XC131978,Gubernetes yetapa,song,A,-20.79,,Noé Eiterer,
XC81563,Gubernetes yetapa,call,A,-22.2501,,Jeremy Minns,Synallaxis albescens
XC81562,Gubernetes yetapa,"duet, song",A,-20.3501,,Jeremy Minns,Saltatricula atricollis
XC577737,Gubernetes yetapa,song,B,-22.3454,,Ricardo José Mitidieri,
XC577735,Gubernetes yetapa,song,B,-22.3454,,Ricardo José Mitidieri,
XC577550,Gubernetes yetapa,"duet, song",B,-20.244,,Garry Bakker,
XC577549,Gubernetes yetapa,"duet, song",B,-20.244,,Garry Bakker,
XC575143,Gubernetes yetapa,song,B,-22.3152,,Felipe Arantes,
XC516456,Gubernetes yetapa,song,B,-20.7333,,Renan Betzel,"Anumbius annumbi, Elaenia flavogaster, Mimus saturninus, Troglodytes aedon"
XC471117,Gubernetes yetapa,call,B,-22.2981,,Ricardo Gagliardi,
XC421161,Gubernetes yetapa,call,B,-23.7976,,Fernando Igor de Godoy,
XC407330,Gubernetes yetapa,call,B,-21.7924,,Marcelo Müller,
XC388068,Gubernetes yetapa,song,B,-21.9162,,Bobby Wilcox,
XC388067,Gubernetes yetapa,song,B,-21.9162,,Bobby Wilcox,
XC241846,Gubernetes yetapa,"duet, song",B,-22.4805,,Eric DeFonso,
XC186351,Gubernetes yetapa,song,B,-22.6997,,Fernando Igor de Godoy,
XC178072,Gubernetes yetapa,song,B,-20.3801,,Douglas Meyer,
XC173390,Gubernetes yetapa,"call, song",B,-20.2506,,João Antônio de B. Vitto,
XC173352,Gubernetes yetapa,song,B,-20.4082,,João Antônio de B. Vitto,
XC130927,Gubernetes yetapa,song,B,-20.8761,,Noé Eiterer,
XC123238,Gubernetes yetapa,"call, song",B,-22.6771,,GABRIEL LEITE,
XC119075,Gubernetes yetapa,song,B,-23.2119,,GABRIEL LEITE,
XC115293,Gubernetes yetapa,song,B,-20.79,,Noé Eiterer,
XC115292,Gubernetes yetapa,call,B,-21.765,,Noé Eiterer,
XC81561,Gubernetes yetapa,call,B,-20.3501,,Jeremy Minns,"Turdus leucomelas, Pitangus sulphuratus, Columbina squammata"
XC349989,Gubernetes yetapa,song,C,-23.2119,,GABRIEL LEITE,
XC181680,Gubernetes yetapa,"call, song",C,-20.216,,Antonio Silveira,
XC1074965,Vanellus chilensis,call,A,-22.8054,,GABRIEL LEITE,
XC1052033,Vanellus chilensis,"alarm call, flight call, song",A,-23.4689,,rafarrinho,Coryphospingus cucullatus
XC823456,Vanellus chilensis,call,A,-30.2021,,Guy Kirwan,
XC580177,Vanellus chilensis,call,A,-20.5983,,Dante Buzzetti,
XC421860,Vanellus chilensis,call,A,-24.2783,,Fernando Igor de Godoy,
XC420448,Vanellus chilensis,flight call,A,-22.5939,,Odirlei Vieira da Fonseca,
XC348490,Vanellus chilensis,flight call,A,-23.2692,,Jeremy Minns,
XC347764,Vanellus chilensis,song,A,-24.2056,,Robson Silva e Silva,
XC343265,Vanellus chilensis,alarm call,A,-20.4554,,Nick Komar,
XC328927,Vanellus chilensis,call,A,-22.8588,,Ricardo José Mitidieri,
XC294690,Vanellus chilensis,"alarm call, call",A,-26.7166,,Douglas Meyer,
XC288528,Vanellus chilensis,flight call,A,-28.3286,,Marcelo Villegas,
XC288203,Vanellus chilensis,flight call,A,-22.4508,,Jerome Fischer,
XC270226,Vanellus chilensis,flight call,A,-22.4508,,Jerome Fischer,
XC269293,Vanellus chilensis,alarm call,A,-22.4508,,Jerome Fischer,
XC199139,Vanellus chilensis,call,A,-23.446,,Gabriel Rosa,
XC131341,Vanellus chilensis,call,A,-22.4508,,Eric DeFonso,
XC131138,Vanellus chilensis,song,A,-22.4508,,Eric DeFonso,
XC130867,Vanellus chilensis,call,A,-22.4508,,Eric DeFonso,
XC123935,Vanellus chilensis,flight call,A,-22.6771,,GABRIEL LEITE,
XC17218,Vanellus chilensis,call,A,-22.5001,,Nick Athanas,"Camptostoma obsoletum, Anthus lutescens, Troglodytes aedon"
XC1095068,Vanellus chilensis,flight call,B,-22.4508,,Fabrício Grigolin,
XC806659,Vanellus chilensis,alarm call,B,-32.0417,,Vinícius Soares Domingues,"Plegadis chihi, Geothlypis velata, Furnarius rufus, Embernagra platensis, Troglodytes aedon"
XC745200,Vanellus chilensis,song,B,-21.159,,João Vitor Oliveira de Souza,
XC668987,Vanellus chilensis,uncertain,B,-22.9511,,Henrique Moutinho,Troglodytes aedon
XC600438,Vanellus chilensis,call,B,-20.2551,,Thiago Augusto Mendes Pinheiro,
XC530724,Vanellus chilensis,call,B,-22.9511,,Ricardo José Mitidieri,
XC510860,Vanellus chilensis,song,B,-31.2595,,GABRIEL LEITE,
XC492892,Vanellus chilensis,"alarm call, flight call",B,-29.3375,,Henrique Cardoso Delfino,
XC481876,Vanellus chilensis,song,B,-22.6766,,Lucas Aosf,
XC435956,Vanellus chilensis,song,B,-22.1952,,Joseane Guimarães,
XC421164,Vanellus chilensis,flight call,B,-22.8842,,Victor Antonelli,
XC216146,Vanellus chilensis,flight call,B,-27.8916,,Amanda Perin Marcon,
XC146730,Vanellus chilensis,call,B,-31.2595,,Rafael Antunes Dias,
XC144878,Vanellus chilensis,song,B,-24.3167,,Antonio Silveira,
XC130858,Vanellus chilensis,call,B,-22.4508,,Eric DeFonso,"Certhiaxis cinnamomeus, Leptotila rufaxilla"
XC113781,Vanellus chilensis,song,B,-20.8004,,Noé Eiterer,
XC85479,Vanellus chilensis,flight call,B,-29.4501,,Jeremy Minns,Veniliornis spilogaster
XC85478,Vanellus chilensis,call,B,-24.2667,,Jeremy Minns,
XC70818,Vanellus chilensis,call,B,-29.494,,Daniel Lane,"Turdus albicollis, Myiarchus swainsoni"
XC1049912,Vanellus chilensis,alarm call,C,-22.8329,,Luiz Fernando de Andrade Figueiredo,
XC808942,Vanellus chilensis,flight call,C,-22.8963,,Nelson Wisnik,
XC492895,Vanellus chilensis,"call, reproductive call; tit-tit calls",C,-29.3375,,Henrique Cardoso Delfino,
XC492891,Vanellus chilensis,"alarm call, call, song",C,-29.3375,,Henrique Cardoso Delfino,
XC189822,Vanellus chilensis,alarm call,C,-22.3926,,Ricardo José Mitidieri,
XC144740,Vanellus chilensis,song,C,-23.59,,Antonio Silveira,
XC951581,Piculus aurulentus,"call, song",A,-27.282,,Miguel Angelo Biz,
XC750771,Piculus aurulentus,song,A,-23.7728,,Felipe Arantes,
XC600143,Piculus aurulentus,song,A,-20.5801,,Caio Brito,"Pachyramphus castaneus, Phyllomyias griseocapilla"
XC556495,Piculus aurulentus,canto,A,-20.618021,,Caio Brito,
XC419079,Piculus aurulentus,call,A,-29.3226,,JAYRSON ARAUJO DE OLIVEIRA,
XC234495,Piculus aurulentus,song,A,-24.2667,,Jeremy Minns,Zonotrichia capensis
XC234493,Piculus aurulentus,song,A,-23.6334,,Jeremy Minns,
XC189708,Piculus aurulentus,song,A,-20.1041,,Luiz Gabriel Mazzoni,Thalurania glaucopis
XC186429,Piculus aurulentus,"drumming, song",A,-28.6494,,João Gava,Vireo chivi
XC179712,Piculus aurulentus,call,A,-27.258,,Glauco Kohler,
XC176512,Piculus aurulentus,song,A,-27.5218,,Douglas Meyer,
XC144778,Piculus aurulentus,song,A,-22.4334,,Antonio Silveira,
XC14694,Piculus aurulentus,"call, call/drum",A,-24.2759,,Nick Athanas,Myrmoderus squamosus
XC1150299,Piculus aurulentus,call,B,-20.5016,,JAYRSON ARAUJO DE OLIVEIRA,"Carpornis cucullata, Procnias nudicollis, Saltator similis"
XC1139746,Piculus aurulentus,song,B,-22.4406,,Dante Buzzetti,
XC985425,Piculus aurulentus,song,B,-23.6156,,Augusto Matheus dos Santos,"Drymophila rubricollis, Myrmoderus squamosus"
XC981406,Piculus aurulentus,song,B,-23.375,,Dante Buzzetti,
XC812901,Piculus aurulentus,"call, song",B,-23.375,,Dante Buzzetti,
XC722647,Piculus aurulentus,"call, flight call",B,-24.9582,,Luiz C.  Silva,
XC662974,Piculus aurulentus,song,B,-22.5055,,Ricardo José Mitidieri,
XC659459,Piculus aurulentus,"call, song",B,-22.8838,,Dante Buzzetti,
XC614295,Piculus aurulentus,song,B,-22.4479,,Ricardo José Mitidieri,"Hemitriccus diops, Leptotila rufaxilla"
XC613770,Piculus aurulentus,call,B,-25.3334,,Luiz C.  Silva,
XC563598,Piculus aurulentus,call,B,-22.8943,,GABRIEL LEITE,
XC488918,Piculus aurulentus,drumming,B,-27.1389,,Miguel Angelo Biz,
XC470782,Piculus aurulentus,call,B,-22.3691,,Ricardo Gagliardi,
XC424982,Piculus aurulentus,song,B,-22.8842,,Victor Antonelli,
XC391912,Piculus aurulentus,"call, drumming",B,-22.4503,,Bobby Wilcox,
XC391910,Piculus aurulentus,drumming,B,-22.4503,,Bobby Wilcox,Thraupis cyanoptera
XC391909,Piculus aurulentus,begging call,B,-22.4503,,Bobby Wilcox,
